,menu_item,menu_item_price,menu_item_calories,restaurant_address
0,Whopper,8.09,670,"5701 Christie Avenue, Emeryville, CA, 94608, US"
1,Impossible™ Whopper,8.59,630,"5701 Christie Avenue, Emeryville, CA, 94608, US"
2,Texas Double Whopper,10.49,"1,090","5701 Christie Avenue, Emeryville, CA, 94608, US"
3,Double Whopper,9.09,920,"5701 Christie Avenue, Emeryville, CA, 94608, US"
4,Triple Whopper ,10.09,"1,170","5701 Christie Avenue, Emeryville, CA, 94608, US"
5,Bacon King,10.99,"1,200","5701 Christie Avenue, Emeryville, CA, 94608, US"
6,BBQ Bacon Whopper Jr.,6.39,390,"5701 Christie Avenue, Emeryville, CA, 94608, US"
7,Whopper Jr.,4.79,330,"5701 Christie Avenue, Emeryville, CA, 94608, US"
8,Bacon Double Cheeseburger,5.19,440,"5701 Christie Avenue, Emeryville, CA, 94608, US"
9,Bacon Cheeseburger,3.59,340,"5701 Christie Avenue, Emeryville, CA, 94608, US"
10,Double Cheeseburger,3.79,400,"5701 Christie Avenue, Emeryville, CA, 94608, US"
11,Cheeseburger,3.29,290,"5701 Christie Avenue, Emeryville, CA, 94608, US"
12,Rodeo Burger,3.29,340,"5701 Christie Avenue, Emeryville, CA, 94608, US"
13,Hamburger,3.49,250,"5701 Christie Avenue, Emeryville, CA, 94608, US"
14,Cheesy Tots,4.09,170,"5701 Christie Avenue, Emeryville, CA, 94608, US"
15,Have-sies™,4.39,380,"5701 Christie Avenue, Emeryville, CA, 94608, US"
16,French Fries,4.09,370,"5701 Christie Avenue, Emeryville, CA, 94608, US"
17,Onion Rings,4.09,360,"5701 Christie Avenue, Emeryville, CA, 94608, US"
18,12 Pc. Chicken Fries,5.79,340,"5701 Christie Avenue, Emeryville, CA, 94608, US"
19,8 Pc. Chicken Fries,4.99,220,"5701 Christie Avenue, Emeryville, CA, 94608, US"
20,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"5701 Christie Avenue, Emeryville, CA, 94608, US"
21,4 Pc. Chicken Fries,4.09,110,"5701 Christie Avenue, Emeryville, CA, 94608, US"
22,16 Pc. Chicken Nuggets,5.99,770,"5701 Christie Avenue, Emeryville, CA, 94608, US"
23,8 Pc. Chicken Nuggets,2.99,390,"5701 Christie Avenue, Emeryville, CA, 94608, US"
24,4 Pc. Chicken Nuggets,1.99,190,"5701 Christie Avenue, Emeryville, CA, 94608, US"
25,Mozzarella Sticks,4.49,330,"5701 Christie Avenue, Emeryville, CA, 94608, US"
26,MOTTS Applesauce,1.49,50,"5701 Christie Avenue, Emeryville, CA, 94608, US"
0,Whopper,7.59,670,"15050 E. 14th Street, San Leandro, CA, 94578, US"
1,Impossible™ Whopper,8.59,630,"15050 E. 14th Street, San Leandro, CA, 94578, US"
2,Texas Double Whopper,9.89,"1,090","15050 E. 14th Street, San Leandro, CA, 94578, US"
3,Double Whopper,8.89,920,"15050 E. 14th Street, San Leandro, CA, 94578, US"
4,Triple Whopper ,9.89,"1,170","15050 E. 14th Street, San Leandro, CA, 94578, US"
5,Bacon King,8.79,"1,200","15050 E. 14th Street, San Leandro, CA, 94578, US"
6,BBQ Bacon Whopper Jr.,3.89,390,"15050 E. 14th Street, San Leandro, CA, 94578, US"
7,Whopper Jr.,3.99,330,"15050 E. 14th Street, San Leandro, CA, 94578, US"
8,Bacon Double Cheeseburger,4.19,440,"15050 E. 14th Street, San Leandro, CA, 94578, US"
9,Bacon Cheeseburger,3.29,340,"15050 E. 14th Street, San Leandro, CA, 94578, US"
10,Double Cheeseburger,3.49,400,"15050 E. 14th Street, San Leandro, CA, 94578, US"
11,Cheeseburger,2.49,290,"15050 E. 14th Street, San Leandro, CA, 94578, US"
12,Rodeo Burger,2.49,340,"15050 E. 14th Street, San Leandro, CA, 94578, US"
13,Hamburger,2.19,250,"15050 E. 14th Street, San Leandro, CA, 94578, US"
14,Cheesy Tots,1.49,170,"15050 E. 14th Street, San Leandro, CA, 94578, US"
15,Have-sies™,3.69,380,"15050 E. 14th Street, San Leandro, CA, 94578, US"
16,French Fries,3.69,370,"15050 E. 14th Street, San Leandro, CA, 94578, US"
17,Onion Rings,3.69,360,"15050 E. 14th Street, San Leandro, CA, 94578, US"
18,12 Pc. Chicken Fries,4.99,340,"15050 E. 14th Street, San Leandro, CA, 94578, US"
19,8 Pc. Chicken Fries,4.19,220,"15050 E. 14th Street, San Leandro, CA, 94578, US"
20,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"15050 E. 14th Street, San Leandro, CA, 94578, US"
21,4 Pc. Chicken Fries,1.99,110,"15050 E. 14th Street, San Leandro, CA, 94578, US"
22,16 Pc. Chicken Nuggets,4.98,770,"15050 E. 14th Street, San Leandro, CA, 94578, US"
23,8 Pc. Chicken Nuggets,2.79,390,"15050 E. 14th Street, San Leandro, CA, 94578, US"
24,4 Pc. Chicken Nuggets,1.79,190,"15050 E. 14th Street, San Leandro, CA, 94578, US"
25,Mozzarella Sticks,2.19,330,"15050 E. 14th Street, San Leandro, CA, 94578, US"
26,MOTTS Applesauce,1.49,50,"15050 E. 14th Street, San Leandro, CA, 94578, US"
